Dataset	Domain	Score	Sent1	Sent2
STS2013-gold	FNWN	0.2	geography as defined by its use.	a place where work is done;
STS2013-gold	FNWN	0.4	an entity meets the pre-conditions for participating in an event. a degree modifier may be included to indicate by how much the entity exceeds or falls short of the minimum requirements.	(usually followed by `to') having the necessary means or skill or know-how or authority to do something;
STS2013-gold	FNWN	2	a person (the cognizer) comes to believe something (the content), sometimes after a process of reasoning. this change in belief is usually initiated by a person or piece of evidence. occasionally words in this domain are accompanied by phrases expressing topic, i.e. that which the mental content is about.	establish after a calculation, investigation, experiment, survey, or study;
STS2013-gold	FNWN	1	this frame contains verbs and nouns that communicate the act of a speaker to address a message to some addressee using language. a number of the words can be used performatively, such as declare and insist.	state or say further;
STS2013-gold	FNWN	0	this frame is concerned with the likelihood of a hypothetical_event occurring. the hypothetical_event is its only core frame element. notice that in the case where a noun phrase is the subject of the support verb, that np is also tagged as hypothetical_event.	involving substantial risk;
STS2013-gold	FNWN	1.8	in this frame an ingestor takes a substance into his or her body. the delivery_device can appear as a direct object.	take or consume (regularly or habitually);
STS2013-gold	FNWN	2.6	the hearer receives a message or communication on a particular topic. words in this frame denote events of verbal communication, but express the hearer rather than the speaker as an external argument.	to hear and understand;
STS2013-gold	FNWN	0.8	the locale is a geographical location as defined by shape. this frame includes natural geographic features, including land/ice forms and bodies of water.	material in the top layer of the surface of the earth in which plants can grow (especially with reference to its quality or use);
STS2013-gold	FNWN	2.8	this frame has to do with scientific taxonomy. the lexical units in this frame include the seven major classifications in which organisms are grouped based on common biological characteristics. these classifications are labeled rank in this frame. the members or subtype of the rank is often expressed with the use of the target-denoting noun.	(biology) a taxonomic group containing one or more genera;
STS2013-gold	FNWN	2.4	a perceiver determines the location of a sought_entity within a ground.	come upon after searching; find the location of something that was missed or lost;
STS2013-gold	FNWN	2	in this frame a speaker asks an addressee for something, or to carry out some action.	(often plural) a command given by a superior (e.g., a military or law enforcement officer) that must be obeyed;
STS2013-gold	FNWN	3.2	a piece of evidence indicates that an event occured, or metonymically, entity had formerly existed, in a location.	an indication that something has been present;
STS2013-gold	FNWN	1.2	a competition comes to an end, with a competitor tying, winning, or losing against an opponent (or opponents) according to their score. (in the symmetrical situation of a tie, the competitor and opponent may be jointly mentioned as competitors.) according to the score that the competitor and opponent have achieved, they may receive a rank or a prize. the margin may also be mentioned.	finish third or better in a horse or dog race;
STS2013-gold	headlines	2.6	Drug lord captured by marines in Mexico	Suspected drug lord known as ‘El Taliban’ held in Mexico
STS2013-gold	headlines	4.4	SC dismisses govt's review plea in Vodafone tax case	SC dismisses govt's review petition on Vodafone tax verdict
STS2013-gold	headlines	2.6	Explosion hits oil pipeline in Syria's Homs	Explosion hits pipeline as Assad attacks cities
STS2013-gold	headlines	3.8	NATO Soldier Killed In Afghan Attack	NATO soldier killed in S. Afghanistan
STS2013-gold	headlines	4.2	Castro celebrates 86th birthday Monday	Fidel Castro celebrates 86th birthday
STS2013-gold	headlines	3	Israel ex-spy warns against 'messianic' Iran war	Israeli ex-spy boss: no trust in leadership over Iran – video
STS2013-gold	headlines	3.8	Eye Opener: Supreme Court rules on Arizona immigration law	U.S. Supreme Court issues split ruling on Arizona immigration law
STS2013-gold	headlines	3.2	NATO traces path out of Afghanistan	NATO Leaders Commit to Afghanistan Transition
STS2013-gold	headlines	4	Syria says suicide bomber kills 10 in Damascus	Damascus 'suicide bombing' kills 10
STS2013-gold	headlines	0.8	Sachin Tendulkar says I'm not God, I'm Sachin	Sachin Tendulkar scores cricket's first 100th century
STS2013-gold	headlines	1.4	Tropical storm heads for pass along Honduras coast	Tropical storm warnings for Southeast coast
STS2013-gold	headlines	2.4	Australian PM Gillard set to win leadership challenge	Australian PM defiant under pressure over leadership
STS2013-gold	headlines	2.4	Obama backs Philippines over South China Sea	Obama says clear rules needed to calm South China Sea
STS2013-gold	headlines	3.2	Teenager in China kills 8, wounds 5 in knife attack	Teenager kills 8 in knife attack
STS2013-gold	headlines	3.8	Syrian rebels move command from Turkey to Syria	Free Syrian Army moves headquarters from Turkey to Syria
STS2013-gold	headlines	0.4	Knesset speaker: Obama reelection bad for Israel	7 states sue over Obama administration's birth control rule
STS2013-gold	headlines	4.4	Netanyahu set to call early vote	Israel's Netanyahu set to call early vote
STS2013-gold	headlines	2.8	Greece bond exchange the largest debt restructuring in history	Greece secures biggest debt deal in history
STS2013-gold	headlines	1	Putin 'Wins Russian Presidential Election'	Polls open in Russian presidential election
STS2013-gold	headlines	0.75	Suicide bomber kills 12 in Nigeria church	Suicide bomber kills 21 in NW Pakistan
STS2013-gold	headlines	0.2	Indian finance minister quits to run for president	Julian Assange Plans to Run for Australian Senate
STS2013-gold	headlines	3.8	Jerry Sandusky found guilty in child sex abuse trial	Sandusky found guilty in child sex abuse trial
STS2013-gold	headlines	2.4	Three Tibetans self-immolate in western China: report	7 Tibetans self-immolate in China
STS2013-gold	headlines	3.6	White House in damage control over Obama Supreme Court remarks	Fact check: Obama's Supreme Court remarks
STS2013-gold	headlines	2	Annan warns talks of Syria risks	Putin, Annan meet on Syria crisis
STS2013-gold	headlines	1.4	Quartet calls on Israelis, Palestinians to end irritants	Occupation to confiscate 30 dunums of Palestinian land in Deir Estia
STS2013-gold	headlines	4.8	Saudis to permit women to compete in Olympics	Saudi Women Allowed To Compete At Olympics
STS2013-gold	headlines	2.2	Nigeria university mass attacked by gunmen	Nigeria: University Bombed in North
STS2013-gold	headlines	3.4	US says ready to help blind Chinese activist	U.S. ready to help Chinese activist: official
STS2013-gold	headlines	3.2	China's Cabinet promises to boost economy	China's Wen promises job creation
STS2013-gold	headlines	1.8	Annan, UN chief call on Security Council to act on Syria	Russia, China veto UN Security Council resolution on Syria
STS2013-gold	headlines	4	Green Lantern to be reintroduced as gay by DC Comics	Green Lantern to be relaunched as gay superhero
STS2013-gold	headlines	1	Military plane crashes in south France: authorities	Military plane crashes in southeastern Turkey, 1 dead
STS2013-gold	headlines	1	Tropical Storm Isaac boosts jobless claims	Tropical Storm Joyce forms, stays in open Atlantic
STS2013-gold	headlines	4.8	Gazans fire 2 rockets into Israel; no injuries	2 Gaza rockets hit Israel; no injuries
STS2013-gold	headlines	3.2	Freddie Starr Arrested In Savile Abuse Probe	Third man arrested in Savile sex abuse probe
STS2013-gold	headlines	5	Romney announces Paul Ryan as running mate	Romney names Ryan as running mate
STS2013-gold	headlines	3.6	Stocks rise early after Greek deal, then flatten	Stocks edge higher after Greek debt deal
STS2013-gold	headlines	4	Suicide bombing rocks elite Yemen military camp	Suicide bombers attack Yemen military posts
STS2013-gold	headlines	2.2	NATO: 2 International Troops Killed in Afghanistan	Three NATO troops killed in one day in Afghanistan
STS2013-gold	headlines	1.8	Moscow protesters demand Vladimir Putin's resignation	Moscow protest against Vladimir Putin smaller and quieter
STS2013-gold	headlines	0.6	Saudi gas truck blast kills at least 22	Nigeria church blast kills at least 12
STS2013-gold	headlines	1	French election turnout higher than expected	French presidential election: first round - live updates
STS2013-gold	headlines	4.4	Australia to establish the world's largest marine reserve	Australia creates world's largest marine reserves
STS2013-gold	headlines	1.6	Two U.S. soldiers shot, killed by Afghan soldier	Two British soldiers killed by Afghan policeman
STS2013-gold	headlines	1.4	Italy soldiers die in Afghanistan	Two UK Soldiers Killed In Afghanistan
STS2013-gold	headlines	4	Abbas to lead Palestinian unity government	Abbas proposed as PM in interim unity government
STS2013-gold	headlines	2.8	Egypt’s Coptic Church Names New Pope	Egypt's Coptic Church Prepares to Choose Pope
STS2013-gold	headlines	3.6	Malawi Officially Confirms President's Death	Malawi confirms President Mutharika's death
STS2013-gold	headlines	3.8	Mali's Tuareg rebels declare independence	Mali rebels declare independent 'Azawad'
STS2013-gold	headlines	1.4	Lance Armstrong stripped of Tour de France titles	Lance Armstrong plots strategy after loss of titles
STS2013-gold	headlines	1	Egypt votes on final day of presidential election	Polls open in France for presidential election
STS2013-gold	headlines	0.4	Berri says ready to help launch national unity government	The perception of Spain has changed dramatically with this government
STS2013-gold	headlines	0.6	Is Madeleine McCann Still Alive?	Reopen Madeleine case, police urge
STS2013-gold	headlines	1.8	13 dead in Iraq bomb attacks	16 killed in north Iraq attacks
STS2013-gold	headlines	1.4	Aussie surfers find stricken asylum seekers	Mayday: fears for asylum seekers
STS2013-gold	headlines	3	ISAF: 4 coalition troops killed in attack involving Afghan police	NATO says four troops killed in "insider" attack in Afghan south
STS2013-gold	headlines	4.6	Coty launches $10 billion bid for rival Avon	Coty bids $10 billion for Avon
STS2013-gold	headlines	3.2	UN Security Council unanimous vote on Syria	UN Security Council to vote on up to 300 Syria monitors
STS2013-gold	headlines	5	Gunman kills 6 in shooting at Wisconsin Sikh temple	Gunman kills six in shooting at Sikh temple in Wisconsin
STS2013-gold	headlines	0.6	Audi to buy motorcycle maker Ducati	Probe into motor insurance market
STS2013-gold	headlines	2.4	Hurricane Isaac Moves Inland After Landfall	Hurricane Isaac batters US coast near New Orleans
STS2013-gold	headlines	4.2	China news agency: Still hope for Syria peace	China state news agency: There's still hope for Syria peace
STS2013-gold	headlines	0.4	22 dead in suicide attack on Yemen police academy	AU forces intensify attack on Somali rebels
STS2013-gold	headlines	1.2	South Korea Orders Immediate Shutdown of 2 Nuclear Reactors	South Korea to boost nuclear power?
STS2013-gold	headlines	1.6	Nigeria mourns over 193 people killed in plane crash	Nigeria opens probe into deadly air crash
STS2013-gold	headlines	1.6	US, allies to set demands for Iran nuclear talks	'Iran won't accept pre-conditions to nuclear talks'
STS2013-gold	headlines	4.8	AOL says to sell 800 patents to Microsoft for $1.0 bn	AOL to sell 800 patents to Microsoft for $1 billion
STS2013-gold	headlines	1.2	Thousands of troops to march for Jubilee	Thousands flock to Amsterdam for Queen's Day
STS2013-gold	headlines	0.8	Middle East: Israel: Hamas Leader Convicted	Middle East: Iraq: 17 Prisoners Escape in Kirkuk
STS2013-gold	headlines	4.2	Navy Jet Crashes Into Apartment Building	US Navy Jet Crashes into Apartment Block
STS2013-gold	headlines	0.6	Woman dies after abortion refusal	Woman dies after cliff collapses in Dorset
STS2013-gold	headlines	1.8	Greece votes in crucial election	Greece looks set for repeat election
STS2013-gold	headlines	2.2	U.S. and Turkey weigh no-fly zones for Syria	U.S. and Turkey Tighten Coordination on Syria
STS2013-gold	headlines	3.6	Death toll rises to 236 after Brazzaville blasts	Rep. of Congo: 236 Dead After Arms Depot Blasts
STS2013-gold	headlines	1	I'll Have Another retired to stud	I'll Have Another wins Preakness
STS2013-gold	headlines	0.6	Syria journalists rescue bid fails	Journalists smuggled out of Homs
STS2013-gold	headlines	1.8	New sex claim hits Secret Service	New rules for US Secret Service
STS2013-gold	headlines	1.2	Iran warns Moscow nuclear talks could stall	Iranians “confess” to nuclear scientist murders
STS2013-gold	headlines	4.6	Mohamed Morsi sworn in as Eygptian president	Mohamed Morsi sworn in as Egypt's President
STS2013-gold	headlines	0	Rimsha Masih released on bail	Mandela released from hospital
STS2013-gold	headlines	0	1 person killed in sectarian clashes in Lebanon	180 killed in Iran earthquake
STS2013-gold	headlines	3.2	ICC jails Congolese warlord for 14 years over child soldiers	Congolese warlord sentenced to 14 years in landmark case - video
STS2013-gold	headlines	0	Gains in financial stocks push up European equities	British Christians take complaints to European court
STS2013-gold	headlines	1.6	Turkey Raises Alarm Over Syrian Refugees	Turkey seeks to relocate some Syrian refugees
STS2013-gold	headlines	1.4	1 person killed in sectarian clashes in Lebanon	Nine killed in Syrian-linked clashes in Lebanon
STS2013-gold	headlines	1.6	Suspected al-Qaeda financier arrested in France	Three al Qaeda suspects arrested in Spain
STS2013-gold	headlines	1.6	No damage, tsunami after 6.6 quake hits off Indonesia's Sumatra	5.9 quake hits Indonesia s Sumatra: USGS
STS2013-gold	headlines	3.2	IAF strike Gaza terror hubs	IAF strikes Gaza terror cell; 1 dead
STS2013-gold	headlines	2.2	Israeli air strikes kill 16 in Gaza	Israel air strikes kill 4 in Gaza; death toll now at 38
STS2013-gold	headlines	1.4	18 killed, 108 wounded in wave of bombings in Iraq	9 killed, 31 wounded in car bombs in Iraq's Kirkuk
STS2013-gold	headlines	2	Palestinian prisoner ending hunger strike after deal	Israel to free Palestinian hunger striker
STS2013-gold	headlines	3.4	Hezbollah confirms it sent drone downed over Israel	Hezbollah says it sent drone over Israel
STS2013-gold	headlines	3.2	Rebel fighters 'capture' Syrian soldiers	Free Syrian Army captures Syrian officers
STS2013-gold	headlines	2.4	Colorado shooting suspect was under psychiatrist's care	Doctor treating Aurora shooting suspect had medical reprimand
STS2013-gold	headlines	4.8	6.6 quake rocks Indonesia's Papua: USGS	6.6 quake rocks Indonesia's Papua: US Geological Survey
STS2013-gold	headlines	2.8	US senators penalize Pakistan for jailing doctor who aided CIA	US decries Pakistan doctor's fate
STS2013-gold	headlines	0.4	What time is Andy Murray v Roger Federer in the Wimbledon men's final? All you need to know about the big game	What time is the Paralympic Opening Ceremony? Everything you need to know about the big curtain-raiser
STS2013-gold	headlines	3.6	New Jersey School Bans Hugging	US school bans hugging
STS2013-gold	headlines	4.6	Iran (Islamic Republic of): Iran steps up relief efforts after quakes kill 227	Iran steps up relief efforts after quakes kill 227
STS2013-gold	headlines	2.4	Tsunami warning issued for southern Alaska	Tsunami warning after Canada quake
STS2013-gold	headlines	0.8	'No Evidence' In Afghanistan Massacre Case	US toll in Afghanistan hits 2,000
STS2013-gold	headlines	3.8	Cash-rich Apple to pay dividend, buy back shares	Apple to pay $2.65/share dividend, buy back $10B stock
STS2013-gold	headlines	0.4	7 soldiers killed, 56 injured in PKK attack in eastern Turkey	3 killed, 14 injured in attacks in Iraq
STS2013-gold	headlines	4.6	Two reported dead in shooting at Empire State Building in NY	2 dead in shooting outside Empire State Building
STS2013-gold	headlines	1	Australian unemployment up to 5.1 percent	French unemployment rate rises to 10 percent
STS2013-gold	headlines	0.4	Shares Move Higher on Wall Street	Sandy strengthens as nears coast; Wall Street shut
STS2013-gold	headlines	2.6	Halliburton 1Q income rises 23 pct	Halliburton Q1 profits rise on strong North America sales
STS2013-gold	headlines	0.8	Syrian envoy to Cyprus defects to Qatar	Syria deploys more troops despite peace deal
STS2013-gold	headlines	0.8	4 killed in shrine bombing in northwest Pakistan	12 killed in U.S. drone strike in NW Pakistan
STS2013-gold	headlines	1.6	China stocks close mixed Friday	China stocks open lower Friday
STS2013-gold	headlines	0.8	India bans bulk texts after riots	Tunisia lifts curfew after riots
STS2013-gold	headlines	2.4	UN monitors yet to reach site of Syrian 'massacre' – video	UN monitors shot at on way to Syrian massacre site
STS2013-gold	headlines	3.6	Yorkshire soldier killed in Afghan bomb blast	Soldier killed in Afghanistan blast
STS2013-gold	headlines	3.75	Radical Islamists in Mali enlist new militia	Local Militia Bolsters Islamist Militants in Mali
STS2013-gold	headlines	4.2	Olympics Opening Ceremony A Hit Around Globe	Opening ceremony gives Olympics a rocking start
STS2013-gold	headlines	4	Schiphol airport partly evacuated after bomb threat	Schiphol airport evacuated due to bomb threat
STS2013-gold	headlines	4.8	Man killed in French terror raid	Man dies in French 'anti-terror operation'
STS2013-gold	headlines	3.8	Dali painting stolen from gallery	Salvador Dali painting snatched from New York gallery
STS2013-gold	headlines	5	Capello quits as England manager	Capello resigns as England manager
STS2013-gold	headlines	3.2	One dead in Ohio school shooting	1 dead, 4 wounded in Ohio school shooting
STS2013-gold	headlines	2.4	2 Palestinians killed in Israeli airstrikes	Four Palestinians killed in IAF strike
STS2013-gold	headlines	3.2	Pakistan condemns U.S. drone strikes	Pakistan convoy heads to protest US drone strikes
STS2013-gold	headlines	4	Massive Hurricane Sandy bears down on U.S. East Coast	Hurricane Sandy gains speed, batters US east coast
STS2013-gold	headlines	3.6	Sarkozy to File Complaint in Gadhafi Funding Claim	Sarkozy to sue after Gaddafi cash claim bursts into campaign
STS2013-gold	headlines	2	The Note's Must Reads for Wednesday July 4, 2012	The Note's Must-Reads for Wednesday, May 30, 2012
STS2013-gold	headlines	4.4	'Iran will attack Tel Aviv if Israel strikes'	Senior cleric: Iran will attack Tel Aviv if Israel strikes
STS2013-gold	headlines	3.8	Annan urges end to Syria violence, minister defects	Annan urges end to Syrian violence
STS2013-gold	headlines	0	Gusmao consolidates power in East Timor elections	Supreme Court possibilities if Romney wins election
STS2013-gold	headlines	0.6	Pena Nieto wins Mexico presidential vote: exit polls	Poll: Putin to win Russia presidential vote
STS2013-gold	headlines	3.4	Syria tells Russia some troops have pulled out of Homs	Syria says troops have begun pullout – video
STS2013-gold	headlines	2.6	Nigeria plane crash: No survivors	4 Chinese among Nigeria plane crash victims
STS2013-gold	headlines	0.8	MIER ups 2012 growth forecast to 4.2pc	CMIE cuts 2012-13 growth forecast to 6.3%
STS2013-gold	headlines	2.8	Explosion at Venezuela Refinery Kills at Least 39	Venezuela mourns oil refinery blast deaths
STS2013-gold	headlines	3.6	Strong earthquake hits Mexico	Strong earthquake strikes near Acapulco
STS2013-gold	headlines	3.8	Russia, China veto UN resolution on Syria killings	Russia, China in double veto of UN Syria resolution
STS2013-gold	headlines	4.2	Colorado shooting suspect was in therapy	Lawyers: Colo. shooting suspect is mentally ill
STS2013-gold	headlines	1.6	Suicide bomber kills 4 near NATO's Afghan HQ	Suicide bomber kills 23 at Afghan wedding
STS2013-gold	headlines	2.6	Pakistani plane crashes with 127 on board	Pakistani Plane Crashes With 130 People On Board
STS2013-gold	headlines	4.4	UN security council orders global sanctions against Haqqani network in Afghanistan	UN orders global sanctions against Haqqani network
STS2013-gold	headlines	0	Erdogan and Putin talked in raised voice	Foreign militants killed in Somalia in strike on car
STS2013-gold	headlines	4	Saudi Arabia arrests suspected militants with al-Qaeda links	Saudi Arabia arrests suspected militants, state media reports
STS2013-gold	headlines	4.8	Hurricane Sandy Closes in on US East Coast	Hurricane Sandy takes aim at US East Coast
STS2013-gold	headlines	2.2	Chicago teachers strike: Vacations for students, for good or ill	Chicago teacher strike poses test for unions
STS2013-gold	headlines	1.6	Panetta says Afghanistan role to shift from combat in 2013	Panetta: Afghanistan Tops NATO Conference Topics
STS2013-gold	headlines	4	Four men admit London Stock Exchange bomb plot	Four men admit London bombs plot
STS2013-gold	headlines	3.8	PM in Tehran, asks NAM to take clear stand on Syria	Manmohan in Tehran, asks NAM to take a stand on Syria
STS2013-gold	headlines	1.6	Israel threatens action against Gaza aid ship	Israel attacks in Gaza Strip after rocket fire
STS2013-gold	headlines	3.8	Bodies Found at Russian Jet Crash in Indonesia	12 bodies found at Russian jet crash in Indonesia
STS2013-gold	headlines	1.4	Senators can return to playoffs with victory	Messi scores 4 to send Guardiola off with victory
STS2013-gold	headlines	1	Syria urges refugees to return	Syria's tenuous truce takes hold
STS2013-gold	headlines	4.2	US soldier kills up to 16 civilians in Afghanistan	US soldier kills up to 16 Afghan civilians in shooting spree
STS2013-gold	headlines	1.2	Rupert Murdoch: I was the victim of a cover up	Rupert Murdoch set for second day of grilling
STS2013-gold	headlines	0.4	Barack Obama's bodyguards sent back to US after prostitution scandal	Barclays boss falls to rate fixing scandal
STS2013-gold	headlines	3.8	China's yuan rises to new high against USD Wednesday	China's yuan advances to 6.3103 against USD Wednesday
STS2013-gold	headlines	3.6	South Africa train crash kills at least 19	South Africa train crash kills 26
STS2013-gold	headlines	4	Nissan to sell steer-by-wire cars	Nissan to offer steer-by-wire systems in some Infiniti cars
STS2013-gold	headlines	3.8	Tibetan monk dies after setting himself on fire in protest against Chinese rule	Teenage Tibetan monk dies after setting himself on fire in China
STS2013-gold	headlines	1	Mumbai is 2nd costliest Indian city to live in	Tech capital Bangalore costliest Indian city to live in: Survey
STS2013-gold	headlines	3.8	Man, 19, quizzed over teen murder	Man quizzed over Megan-Leigh murder
STS2013-gold	headlines	3.4	Israel kills Hamas commander, bombs Gaza targets	Israel airstrikes kill Hamas commander, 5 others
STS2013-gold	headlines	1.8	Civilians Bear Brunt of Afghan Attacks	Taliban launch coordinated Afghan attacks
STS2013-gold	headlines	3.6	Gusmao consolidates power in East Timor elections	Gusmao powers on in East Timor
STS2013-gold	headlines	4.4	UN monitors yet to reach site of Syrian 'massacre' – video	UN monitors unable to reach site of Syria killings
STS2013-gold	headlines	3.8	Russia, China veto UN resolution on Syria endorsing	Russia, China veto U.N. draft backing Arab plan for Syria (Reuters)
STS2013-gold	headlines	4.8	NATO Condemns Syria's Downing of Turkish Military Jet	NATO strongly condemns Syria's downing of Turkish jet
STS2013-gold	headlines	1.4	Activists: Syrian troops storm Damascus suburb	Activist says Syrian citizen cameraman killed in Homs
STS2013-gold	headlines	0.8	Syria rebels attack Lebanese post near border: army	Turkish army stages tank exercises near Syria border
STS2013-gold	headlines	0.2	Five killed in China building collapse	At least 20 killed in Syria Saturday
STS2013-gold	headlines	3.4	Syrian forces launch new attacks	Syria forces launch Aleppo attack
STS2013-gold	headlines	0.2	Syrians trade blame over blasts	Israel braces for Arab protests
STS2013-gold	headlines	1.4	Gazans fire 2 rockets into Israel; no injuries	Gazans fire 89 rockets; cabinet approves reserve call-up
STS2013-gold	headlines	4.6	Former Nazi death camp guard Demjanjuk dead at 91	John Demjanjuk, convicted Nazi death camp guard, dies aged 91
STS2013-gold	headlines	3.8	Boris Johnson re-elected London mayor	Johnson re-elected London mayor
STS2013-gold	headlines	1	Breivik drops far-right salute in court	Breivik gets 21-year sentence
STS2013-gold	headlines	1.4	Second teenager charged with murder	Brother of EastEnders actress Gemma McCluskie is charged with her murder
STS2013-gold	headlines	0.8	French Fear New Serial Killer After Murders	Jersey Murder Trial: Killer 'Hearing Voices'
STS2013-gold	headlines	4.2	US: Madoff brother to plead guilty in NY in fraud	Madoff's brother to plead guilty to fraud
STS2013-gold	headlines	1.8	Hollande defeats Sarkozy in French presidency vote	Polls open across France in presidential election
STS2013-gold	headlines	3.2	Libyan government retakes Tripoli airport	Libyan militia takes control of Tripoli airport
STS2013-gold	headlines	4.6	Clinton warns Kenya of cost of election violence	Clinton warns Kenya on cost of election unrest
STS2013-gold	headlines	4.6	Arkansas Supreme Court strikes down execution law	Arkansas Justices Strike Down Death Penalty
STS2013-gold	headlines	4.2	S. Africa's former president Mandela discharged from hospital	Mandela Discharged From Hospital
STS2013-gold	headlines	0.2	UN envoy in Turkey for talks on Syria	NZ to increase exports to China
STS2013-gold	headlines	1	Islamist Morsi Wins Egypt's Presidential Election	Al-Shater to run in presidential election in Egypt
STS2013-gold	headlines	1.6	Donna Summer, the queen of disco	Donna Summer, Queen of Disco, Dies at 63
STS2013-gold	headlines	3.6	Bangladesh Muslims torch Buddhist shrines, police say	Muslims torch Buddhist temples
STS2013-gold	headlines	0.4	U.S. Drone Kills Five Militants in Pakistan	Six Police Officers Killed in Attacks in Dagestan
STS2013-gold	headlines	0	Mali future interim president readies to take office	Pope rips into dissident priests on celibacy
STS2013-gold	headlines	1.2	9 killed, 168 injured in latest Cairo clashes	10 killed, 12 injured in E. Afghan airport suicide blast
STS2013-gold	headlines	1.8	Tehran: EU sanctions won't force Iran into nuclear talks	Low expectations for Iran nuclear talks
STS2013-gold	headlines	2.2	Portugal Drownings: UK Girl And Grandad Named	British Girl And Grandad Drown In Portugal
STS2013-gold	headlines	3.8	Romney wins Maine Republican caucuses	Romney, in comeback, has narrow Maine caucus win
STS2013-gold	headlines	3.8	Court in Bahrain rejects medics' last rally appeal	Bahrain rejects activists' appeal
STS2013-gold	headlines	3.6	Hurricane Sandy powers toward Eastern Seaboard	Hurricane Sandy moves towards US
STS2013-gold	headlines	0	Clinton calls for friends of Syria to unite	Plastic artist calls for greater support for new talents
STS2013-gold	headlines	0	JK Rowling launches her first adult novel	Syria launches ground assault in Aleppo
STS2013-gold	headlines	2.4	Algerian government parties dominate elections	Algerian national turnout of parliamentary vote reaches 44.38 pct
STS2013-gold	headlines	0.6	Security official killed in Yemen	Security personnel killed in Pakistan raid
STS2013-gold	headlines	3.2	US stocks fall as Greek talks lumber; Apple falls	US stocks slip on Wall Street as Greek talks drag on
STS2013-gold	headlines	5	Romney picks Ryan as vice presidential running mate: source	Romney to tap Ryan as vice presidential running mate
STS2013-gold	headlines	1	NATO sticks to transition roadmap in Afghanistan: Rasmussen	NATO helicopter makes hard landing in E. Afghanistan
STS2013-gold	headlines	1.4	Mubarak faces verdict in murder trial	Mubarak's sons face new charges of insider trading
STS2013-gold	headlines	2	No blocks to investment	India allows Pakistan investment
STS2013-gold	headlines	2.6	Blast kills 11 in northwestern Pakistan	Bomb Kills 19 In Northwest Pakistan
STS2013-gold	headlines	0.8	5 aid workers freed in operation in Afghanistan	Suicide bomber kills 37 at mosque in Afghanistan
STS2013-gold	headlines	3.6	Two NATO soldiers killed in Afghanistan	NATO Soldier Killed in Afghan Blast
STS2013-gold	headlines	4	Nadal tumbles into French Open final	Nadal through to seventh French Open final
STS2013-gold	headlines	3.2	Russian TV reports foiled attempt on Putin	Russia, Ukraine foiled plot to kill Putin, report says
STS2013-gold	headlines	4.4	Putin claims victory in Russia's presidential election	Putin wins disputed Russian presidential election
STS2013-gold	headlines	1.6	Israeli Leader Puts Off Evicting Settlers From Hebron House	Israeli army orders settlers out of Hebron house
STS2013-gold	headlines	0.4	Government promises action on Heathrow queues	Finance minister promises no new taxes
STS2013-gold	headlines	5	Remains of 167 bodies found in Mexican cave	Remains of 167 people found in Mexico cave
STS2013-gold	headlines	4	orphaned alps massacre girl returns to uk	Alps attack: Girl returns to UK
STS2013-gold	headlines	2.8	Obama team raises debate stakes	Obama takes offensive against Romney in debate
STS2013-gold	headlines	0.8	Two Kenyan ministers among 6 killed in plane crash	Poland honors president killed in 2010 plane crash
STS2013-gold	headlines	3.2	Iran, powers set for high-stakes nuclear talks	U.S., Iran prepare for Istanbul nuclear talks
STS2013-gold	headlines	2.8	Thousands gather for new Russian anti-Putin rally	Thousands gather in Moscow for rival rallies
STS2013-gold	headlines	1.2	Syrian forces kill teen in Aleppo protests	Syrian forces kill 3 protesters in Damascus-activists
STS2013-gold	headlines	3.8	Google names new Motorola Mobility CEO	Google appoints Dennis Woodside to run Motorola Mobility
STS2013-gold	headlines	4.4	Massive Hurricane Sandy bears down on U.S. East Coast	Hurricane Sandy takes aim at US East Coast
STS2013-gold	headlines	2.33333333333333	Egyptian president moves into Mubarak's old office	Egypt's President-Elect Morsi Starts to Form Government
STS2013-gold	headlines	3.4	Another rocket hits Eshkol; no injuries	2 rockets hit Eshkol; none injured
STS2013-gold	headlines	0.4	Japan falls silent to mark 311 tragedy	Japan thanks Taiwan for quake aid
STS2013-gold	headlines	3.8	Thousands more Syrian refugees flee to Turkey overnight	8,000 Syrian refugees flee to Turkey overnight
STS2013-gold	headlines	4	Assange appeals extradition to UK's top court	Assange to appeal extradition to UK's top court
STS2013-gold	headlines	2	Strong quake jolts most parts of Pakistan	Strong quake hits eastern Indonesia
STS2013-gold	headlines	1	Lebanese Gunmen Clash Over Syria Crisis	Syrians hold solution to Syria crisis
STS2013-gold	headlines	3.6	Syrian troops kill 35 in Damascus suburb	Activists: Syrian troops kill dozens near Damascus
STS2013-gold	headlines	4	Mob kills man for burning Quran	Pakistani Mob Kills Man 'for Burning Koran'
STS2013-gold	headlines	1.8	US drone strike kills four in North Waziristan	U.S. drone strike kills 10 in northwest Pakistan: officials
STS2013-gold	headlines	4.6	Salvador Dali painting snatched from New York gallery	Salvador Dali painting snatched in NYC
STS2013-gold	headlines	1.8	Putin claims victory in Russia's presidential election	Will Putin's Election Victory in Russia Be Greeted with Protests?
STS2013-gold	headlines	4.2	Sarkozy announces re-election bid	France's Nicolas Sarkozy makes his reelection bid official
STS2013-gold	headlines	4.6	US, UK in pact to release emergency oil stocks	US, UK Set to Agree Emergency Oil Stocks Release
STS2013-gold	headlines	3.4	Suspicious object found in Tel Aviv not explosive device	Police treat suspicious object at Tel Aviv bus station
STS2013-gold	headlines	3	Eurozone unemployment stays at record 11 percent	Eurozone unemployment at record high in June
